                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.2962,                0.49216,                0.47951,                 0.9123,                 1.3078,                0.87911,                0.91111,                 0.9586,                 0.5277,                0.93637,                      1,                0.99261,                0.84591,                 1.3293,                0.50228,                 0.1952,                  1.319,                 1.4304,               0.001604,               0.001604,               0.001604
                     23,                 1.3898,                0.46815,                0.50385,                0.93688,                 1.3347,                 0.9168,                0.88889,                0.94227,                0.59185,                0.90463,                0.91111,                 0.9647,                0.81945,                 1.2493,                0.48219,                0.20104,                 1.3961,                 1.3371,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.3135,                0.46552,                0.42624,                0.90746,                 1.2438,                0.76498,                0.86667,                0.91716,                0.61296,                0.82673,                0.95427,                0.94178,                0.84854,                 1.2248,                0.43868,                0.17933,                 1.4231,                 1.3145,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.3323,                0.50968,                0.47702,                0.95935,                  1.309,                0.84865,                0.86667,                0.92348,                0.60886,                0.87161,                0.88889,                0.95785,                0.86748,                 1.2375,                0.39883,                0.17842,                 1.2573,                 1.3016,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4001,                0.41455,                0.42221,                0.92208,                 1.3126,                0.86117,                0.93333,                0.95697,                0.56705,                0.88263,                0.95556,                0.97186,                0.88262,                 1.3042,                0.41437,                0.19841,                 1.2811,                 1.3132,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.3187,                0.35712,                0.46962,                0.89485,                 1.2498,                0.91371,                0.82222,                0.94304,                0.57849,                 0.9384,                0.84444,                0.94179,                0.85453,                 1.2825,                0.51392,                0.21379,                 1.4106,                  1.361,               0.001505,               0.001505,               0.001505
                     28,                 1.2655,                0.38357,                0.42124,                0.87912,                 1.2835,                0.80623,                0.91111,                0.88819,                0.48387,                0.86876,                0.97778,                0.95237,                 0.9077,                 1.3972,                 0.3156,                 0.1883,                  1.606,                 1.4956,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3633,                0.40054,                0.45407,                0.87642,                 1.3091,                0.85881,                0.88889,                0.91885,                0.52342,                0.92475,                0.95556,                0.97802,                0.93037,                 1.2988,                0.29794,                0.17838,                 1.3995,                 1.4729,              0.0014654,              0.0014654,              0.0014654
                     30,                  1.433,                0.36014,                0.47034,                0.91837,                 1.3428,                 0.9612,                0.95556,                 0.9858,                0.56521,                 0.9612,                0.95556,                 0.9858,                 0.9483,                 1.2889,                 0.3092,                0.18804,                 1.1385,                 1.4705,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3239,                0.31878,                0.43302,                0.89163,                 1.2973,                0.91592,                0.96844,                0.95692,                0.55241,                0.93688,                0.98971,                 0.9858,                 0.9559,                 1.2856,                0.25556,                0.16126,                 1.0892,                 1.5174,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.2959,                0.33708,                0.41313,                0.83646,                 1.3053,                0.92674,                0.95556,                0.96952,                0.61965,                0.97003,                      1,                0.99413,                0.92004,                 1.2022,                0.39696,                0.13185,                0.87031,                 1.3807,               0.001406,               0.001406,               0.001406
                     33,                 1.2872,                0.29112,                0.39786,                0.84015,                 1.3047,                0.89226,                0.97778,                0.96549,                0.62223,                0.89226,                0.97778,                0.96852,                0.86852,                 1.2166,                0.50878,                0.12535,                0.81309,                 1.3457,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.2605,                0.33245,                0.42435,                0.85825,                 1.2075,                  0.833,                0.93333,                0.91936,                0.55505,                0.87266,                0.97778,                0.96541,                0.90075,                 1.2447,                0.46668,                0.12778,                0.76063,                 1.4037,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1605,                0.32087,                0.41824,                0.82129,                 1.1895,                0.85383,                0.95556,                0.92614,                0.57098,                0.90664,                0.95556,                0.97616,                0.93694,                 1.2332,                 0.4264,                0.13075,                0.75405,                 1.4179,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2083,                0.37826,                0.40307,                0.83158,                 1.2327,                0.94246,                0.93333,                0.98514,                0.59804,                0.94246,                0.93333,                0.98558,                0.94365,                  1.201,                0.32512,                0.12203,                0.79102,                 1.3185,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2184,                0.28462,                0.44828,                0.84945,                 1.2317,                0.90128,                0.88889,                0.93736,                0.59228,                0.90293,                0.93333,                0.97346,                0.92565,                 1.2209,                0.37873,                0.10768,                0.78386,                 1.3169,               0.001307,               0.001307,               0.001307
                     38,                 1.2388,                0.26447,                0.45083,                0.84296,                 1.2615,                0.89043,                0.90307,                0.94853,                 0.6532,                0.91154,                0.91603,                0.97839,                0.95854,                 1.1475,                0.37114,                0.10356,                0.75327,                  1.343,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2099,                0.34852,                0.42041,                0.82564,                 1.2599,                0.89948,                0.95556,                0.98039,                0.63068,                0.89948,                0.95556,                0.98336,                0.96286,                 1.1895,                0.31496,                0.10755,                0.77079,                 1.3853,              0.0012674,              0.0012674,              0.0012674
