                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.94562,                0.18596,                0.27477,                0.60345,                 1.1384,                0.97577,                0.97778,                0.97494,                0.66228,                0.99795,                      1,                  0.995,                  0.995,                 1.1267,                0.08934,                0.06946,                0.53646,                 1.3133,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.8489,                 0.1672,                0.24687,                 0.5716,                 1.0569,                0.97537,                0.97778,                0.97385,                0.65696,                0.99753,                      1,                  0.995,                  0.995,                 1.1132,                0.08961,                0.07189,                0.53235,                 1.3013,               0.000317,               0.000317,               0.000317
                     88,                0.91915,                0.13626,                0.25622,                0.61033,                 1.0765,                0.95645,                0.97608,                 0.9672,                0.66252,                0.99752,                      1,                  0.995,                  0.995,                 1.1076,                0.08909,                0.07538,                  0.524,                 1.3058,              0.0002972,              0.0002972,              0.0002972
                     89,                0.89099,                0.13775,                0.26458,                 0.6231,                 1.0752,                0.95645,                0.97616,                0.96676,                0.66133,                0.99771,                      1,                  0.995,                  0.995,                 1.1168,                0.08736,                0.07584,                0.53069,                 1.3136,              0.0002774,              0.0002774,              0.0002774
                     90,                0.87575,                0.14964,                 0.2379,                0.57428,                   1.07,                0.95365,                0.95556,                0.95234,                  0.651,                0.99805,                      1,                  0.995,                  0.995,                  1.132,                0.08107,                0.07839,                0.51407,                 1.3174,              0.0002576,              0.0002576,              0.0002576
                     91,                0.81293,                 0.1025,                0.14504,                0.47852,                 1.0425,                0.97583,                0.97778,                0.97554,                0.65809,                0.99801,                      1,                  0.995,                  0.995,                 1.1413,                0.07519,                 0.0797,                0.50284,                 1.3182,              0.0002378,              0.0002378,              0.0002378
                     92,                0.75323,                0.11579,                0.14718,                0.47474,                 1.0033,                0.97573,                0.97778,                0.97554,                0.65941,                 0.9979,                      1,                  0.995,                  0.995,                 1.1419,                0.07329,                 0.0824,                0.49534,                 1.3144,               0.000218,               0.000218,               0.000218
                     93,                0.81149,                0.11887,                0.12771,                0.46422,                 1.0589,                0.97577,                0.97778,                0.97467,                0.65919,                0.99795,                      1,                  0.995,                  0.995,                  1.137,                0.07242,                0.08065,                0.48988,                 1.3186,              0.0001982,              0.0001982,              0.0001982
                     94,                0.72313,                0.10216,                0.12358,                0.44095,                 1.0091,                0.97584,                0.97778,                0.97409,                0.64423,                0.99802,                      1,                  0.995,                  0.995,                 1.1276,                0.07372,                0.07957,                0.48455,                 1.3192,              0.0001784,              0.0001784,              0.0001784
                     95,                  0.742,                0.09093,                0.12117,                0.44858,                 1.0069,                0.97584,                0.97778,                0.97446,                0.65708,                0.99802,                      1,                  0.995,                  0.995,                 1.1237,                0.07416,                 0.0757,                 0.4856,                 1.3181,              0.0001586,              0.0001586,              0.0001586
                     96,                0.71233,                0.09064,                0.12544,                0.44226,                 1.0129,                0.97534,                0.97778,                0.97242,                0.65739,                0.99751,                      1,                  0.995,                0.99467,                 1.1243,                0.07981,                0.07266,                0.49055,                 1.3151,              0.0001388,              0.0001388,              0.0001388
                     97,                0.71144,                0.08719,                 0.1148,                0.43157,                0.98161,                0.97521,                0.97778,                0.97213,                0.65717,                0.99737,                      1,                  0.995,                  0.995,                   1.13,                0.08086,                 0.0703,                0.49428,                 1.3189,               0.000119,               0.000119,               0.000119
                     98,                 0.6896,                0.08944,                 0.0935,                0.43457,                0.98364,                0.97528,                0.97778,                 0.9721,                0.64723,                0.99745,                      1,                  0.995,                0.99271,                 1.1299,                0.08285,                0.06753,                0.50024,                 1.3236,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.69899,                 0.0997,                0.10119,                0.44028,                0.97821,                 0.9753,                0.97778,                0.97176,                0.65419,                0.99746,                      1,                  0.995,                0.99268,                 1.1318,                0.07992,                0.06643,                 0.5011,                 1.3279,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.73078,                0.09582,                0.12926,                0.44129,                 1.0057,                0.95334,                0.95556,                0.94831,                0.63737,                0.99769,                      1,                  0.995,                  0.995,                 1.1387,                0.07549,                0.06341,                0.49617,                  1.344,               5.96e-05,               5.96e-05,               5.96e-05
